Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
911347,436,8/30/2015 12:52,San Francisco Caltrain (Townsend at 4th),70,8/30/2015 12:59,2nd at Folsom,62,652,Customer,78233
911346,1609,8/30/2015 12:51,Clay at Battery,41,8/30/2015 13:18,2nd at Townsend,61,529,Subscriber,94111
911345,1640,8/30/2015 12:51,Clay at Battery,41,8/30/2015 13:18,2nd at Townsend,61,314,Customer,94111
911344,869,8/30/2015 12:50,Embarcadero at Folsom,51,8/30/2015 13:05,2nd at Townsend,61,336,Customer,85054
911343,898,8/30/2015 12:50,Embarcadero at Folsom,51,8/30/2015 13:05,2nd at Townsend,61,631,Customer,85054
911342,933,8/30/2015 12:48,Embarcadero at Sansome,60,8/30/2015 13:04,Townsend at 7th,65,548,Subscriber,94111
911339,102,8/30/2015 12:44,2nd at Folsom,62,8/30/2015 12:45,2nd at South Park,64,534,Subscriber,94107
911338,210,8/30/2015 12:41,Steuart at Market,74,8/30/2015 12:45,Steuart at Market,74,56,Customer,94704
911337,671,8/30/2015 12:38,Commercial at Montgomery,45,8/30/2015 12:49,San Francisco City Hall,58,620,Subscriber,94111
911336,4808,8/30/2015 12:34,University and Emerson,35,8/30/2015 13:54,University and Emerson,35,257,Customer,94301
911335,4886,8/30/2015 12:33,University and Emerson,35,8/30/2015 13:54,University and Emerson,35,649,Customer,94301
911334,422,8/30/2015 12:28,San Francisco Caltrain 2 (330 Townsend),69,8/30/2015 12:35,Townsend at 7th,65,538,Subscriber,94158
911333,4568,8/30/2015 12:23,University and Emerson,35,8/30/2015 13:40,University and Emerson,35,211,Customer,94301
911332,397,8/30/2015 12:23,Howard at 2nd,63,8/30/2015 12:30,Market at 4th,76,479,Subscriber,94105
911331,399,8/30/2015 12:23,Howard at 2nd,63,8/30/2015 12:30,Market at 4th,76,450,Subscriber,94105
911329,4762,8/30/2015 12:20,University and Emerson,35,8/30/2015 13:40,University and Emerson,35,105,Customer,94301
911328,374,8/30/2015 12:13,Market at 4th,76,8/30/2015 12:19,Market at 10th,67,372,Subscriber,94102
911323,568,8/30/2015 12:09,Powell at Post (Union Square),71,8/30/2015 12:18,Harry Bridges Plaza (Ferry Building),50,368,Customer,2446
911322,84,8/30/2015 12:09,Davis at Jackson,42,8/30/2015 12:10,Davis at Jackson,42,520,Customer,19010
911321,590,8/30/2015 12:08,Powell at Post (Union Square),71,8/30/2015 12:18,Harry Bridges Plaza (Ferry Building),50,509,Customer,2446
911318,633,8/30/2015 12:06,San Francisco Caltrain 2 (330 Townsend),69,8/30/2015 12:16,Powell Street BART,39,586,Subscriber,94107
911317,642,8/30/2015 12:05,Market at 10th,67,8/30/2015 12:16,San Francisco Caltrain 2 (330 Townsend),69,558,Subscriber,94103
911316,361,8/30/2015 12:03,Post at Kearny,47,8/30/2015 12:09,5th at Howard,57,503,Subscriber,94103
